Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD
,,PHILIPS 29PT5507CTV,Philips,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,SAMSUNG 20F4V,Samsung,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,SAMSUNG 20V5MJ,Samsung,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,SAMSUNG CS14B500KJK,Samsung,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,SAMSUNG CS14B501KJKXXL,Samsung,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,SAMSUNG CS14B501KLKXXL,Samsung,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,SAMSUNG CS14C540AJKXXL,Samsung,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,SAMSUNG CS14D600KJ1XXL,Samsung,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,SAMSUNG CS15K30MJ,Samsung,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
,,SAMSUNG CS15K30ML,Samsung,CRT TV,CRT TV,0,Y,N,CE,,,,,,,
