Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD
,FG0583,Pj Kaju Barfi |250 Gms.,Category L (FRESH PACKS),(FRESH SWEETS),,0,Y,N,,Pcs.,Case,,,,,0
,FG0584,Pj Halka Fulka |50 Gms.,Category 2 (Moving Packs - Rs.10/- Items),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0585,Hand made soanpapdi (9pcs) |300 Gms.,Category I (PACKED SWEETS),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0586,Pj Soya Stick |45 Gms.,Category 2 (Moving Packs - Rs.10/- Items),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0587,PEANUT CREAM CHIKKI 40g |35 Gms.,Category I (PACKED SWEETS),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0588,Pj Punjabi Tadka |40 Gms.,Category 2 (Moving Packs - Rs.10/- Items),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0589,Pj Marathi Tadka |40 Gms.,Category 2 (Moving Packs - Rs.10/- Items),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0590,PJ Alu Bhujia |40 Gms.,Category 2 (Moving Packs - Rs.10/- Items),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0591,Pj Bhujia |40 Gms.,Category 2 (Moving Packs - Rs.10/- Items),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0592,Pj Moong Dal Fried |40 Gms.,Category 2 (Moving Packs - Rs.10/- Items),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0593,PJ Krispy Munch(Tangy Tomato) |40 Gms.,Category 2 (Moving Packs - Rs.10/- Items),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0594,PJ Krispy Munch(Magic Masala) |40 Gms.,Category 2 (Moving Packs - Rs.10/- Items),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0595,Jhal Chanachur |90 Gms.,Category D (Mixture Packs - Namkeen),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0596,PJ MINI SAMOSA |200 Gms.,Category E (SNACKS PACKS - Namkeen),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0597,Hand made soanpapdi (6pcs) |200 Gms.,Category I (PACKED SWEETS),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0598,Pj Peanut Gur Chikki Bar 18g (12 pcs) |216 Gms.,Category I (PACKED SWEETS),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
