Location,Prod_Code,mrp_code,mrp,sale_rate,vertical_value
9213,400000348,,,949.57,Specialty Fats
9213,400000349,,,1161.3,Specialty Fats
9213,400000350,,,1092.96,Specialty Fats
9213,400000352,,,1038.5,Specialty Fats
9213,400000353,,,1058.06,Specialty Fats
9213,400000354,,,1057.58,Specialty Fats
9213,400000355,,,1057.58,Specialty Fats
9213,400000389,,,0,Specialty Fats
9213,400000428,,,0,Specialty Fats
9213,400000412,,,0,Specialty Fats
9213,400000411,,,0,Specialty Fats
9213,400000427,,,1149.96,Specialty Fats
9213,400000413,,,0,Specialty Fats
9213,400000414,,,0,Specialty Fats
9213,400000528,,,1104.28,Specialty Fats
9213,400000545,,,0,Specialty Fats
9213,400000598,,,1088.94,Specialty Fats
9213,400000621,,,1061.53,Specialty Fats
9213,400000631,,,1058.06,Specialty Fats
9213,400000655,,,0,Specialty Fats
9213,400000658,,,0,Specialty Fats
9213,400000656,,,1121.33,Specialty Fats
9213,400000682,,,954.82,Specialty Fats
9213,400000700,,,0,Specialty Fats
9213,400000699,,,1044.6,Specialty Fats
9213,400000719,,,1001.46,Specialty Fats
9213,400000747,,,1191.57,Specialty Fats
9213,400000748,,,1228.96,Specialty Fats
9213,400000774,,,1122.41,Specialty Fats
9213,400000753,,,1429.49,Specialty Fats
9213,400000754,,,1392.69,Specialty Fats
9213,400000756,,,1450.48,Specialty Fats
9213,400000757,,,0,Specialty Fats
9213,400000758,,,0,Specialty Fats
9213,400000778,,,1153.6,Specialty Fats
9213,400000783,,,1160.92,Specialty Fats
9213,400000787,,,1097.18,Specialty Fats
9213,400000810,,,1584.68,Specialty Fats
9213,400000821,,,1218.19,Specialty Fats
9213,400000822,,,1223.64,Specialty Fats
9213,400000827,,,1105.99,Specialty Fats
9213,400000860,,,0,Specialty Fats
9205,400000347,,,0,Specialty Fats
9205,400000348,,,0,Specialty Fats
9205,400000349,,,0,Specialty Fats
9205,400000350,,,0,Specialty Fats
9205,400000352,,,0,Specialty Fats
9205,400000353,,,0,Specialty Fats
9205,400000354,,,0,Specialty Fats
9205,400000355,,,0,Specialty Fats
9205,400000389,,,0,Specialty Fats
9205,400000390,,,0,Specialty Fats
9205,400000428,,,0,Specialty Fats
9205,400000412,,,0,Specialty Fats
9205,400000411,,,0,Specialty Fats
9205,400000427,,,0,Specialty Fats
9205,400000413,,,0,Specialty Fats
9205,400000414,,,0,Specialty Fats
9205,400000545,,,0,Specialty Fats
9205,400000528,,,0,Specialty Fats
9205,400000347,,,0,Specialty Fats
9205,400000348,,,948.61,Specialty Fats
9205,400000349,,,1160.34,Specialty Fats
9205,400000350,,,1092,Specialty Fats
9205,400000352,,,1037.54,Specialty Fats
9205,400000353,,,1057.1,Specialty Fats
9205,400000354,,,1056.61,Specialty Fats
9205,400000355,,,1056.61,Specialty Fats
9205,400000389,,,0,Specialty Fats
9205,400000428,,,0,Specialty Fats
9205,400000412,,,0,Specialty Fats
9205,400000411,,,0,Specialty Fats
9205,400000427,,,1148.99,Specialty Fats
9205,400000413,,,0,Specialty Fats
9205,400000414,,,0,Specialty Fats
9205,400000545,,,0,Specialty Fats
9205,400000528,,,1103.32,Specialty Fats
9205,400000598,,,1087.98,Specialty Fats
9205,400000621,,,1060.56,Specialty Fats
9205,400000631,,,1057.1,Specialty Fats
9205,400000655,,,0,Specialty Fats
9205,400000658,,,0,Specialty Fats
9205,400000656,,,1120.36,Specialty Fats
9205,400000682,,,953.86,Specialty Fats
9205,400000700,,,0,Specialty Fats
9205,400000699,,,1043.64,Specialty Fats
9205,400000719,,,1000.5,Specialty Fats
9205,400000747,,,1190.61,Specialty Fats
9205,400000748,,,1228,Specialty Fats
9205,400000774,,,1121.45,Specialty Fats
9205,400000753,,,1428.2,Specialty Fats
9205,400000754,,,1391.4,Specialty Fats
9205,400000756,,,0,Specialty Fats
9205,400000757,,,0,Specialty Fats
9205,400000758,,,0,Specialty Fats
9205,400000778,,,1152.64,Specialty Fats
9205,400000783,,,0,Specialty Fats
9205,400000787,,,1099.07,Specialty Fats
9205,400000810,,,1583.4,Specialty Fats
9205,400000821,,,1217.23,Specialty Fats
9205,400000822,,,1222.68,Specialty Fats
9205,400000827,,,1105.03,Specialty Fats
9407B,400000347,,,0,Specialty Fats
9407B,400000348,,,0,Specialty Fats
9407B,400000349,,,0,Specialty Fats
9407B,400000350,,,0,Specialty Fats
9407B,400000352,,,0,Specialty Fats
9407B,400000353,,,0,Specialty Fats
9407B,400000354,,,0,Specialty Fats
9407B,400000355,,,0,Specialty Fats
9407B,400000389,,,0,Specialty Fats
9407B,400000390,,,0,Specialty Fats
9407B,400000428,,,0,Specialty Fats
9407B,400000412,,,0,Specialty Fats
9407B,400000411,,,0,Specialty Fats
9407B,400000427,,,0,Specialty Fats
9407B,400000413,,,0,Specialty Fats
9407B,400000414,,,0,Specialty Fats
9407B,400000347,,,0,Specialty Fats
9407B,400000348,,,0,Specialty Fats
9407B,400000349,,,0,Specialty Fats
9407B,400000350,,,0,Specialty Fats
9407B,400000352,,,0,Specialty Fats
9407B,400000353,,,0,Specialty Fats
9407B,400000354,,,0,Specialty Fats
9407B,400000355,,,0,Specialty Fats
9407B,400000389,,,0,Specialty Fats
9407B,400000428,,,0,Specialty Fats
9407B,400000412,,,0,Specialty Fats
9407B,400000411,,,0,Specialty Fats
9407B,400000427,,,0,Specialty Fats
9407B,400000413,,,0,Specialty Fats
9407B,400000414,,,0,Specialty Fats
9407B,400000598,,,0,Specialty Fats
9407B,400000621,,,0,Specialty Fats
9407B,400000631,,,0,Specialty Fats
9407B,400000655,,,0,Specialty Fats
9407B,400000682,,,0,Specialty Fats
9407B,400000700,,,0,Specialty Fats
9407B,400000699,,,0,Specialty Fats
9407B,400000747,,,0,Specialty Fats
9407B,400000748,,,0,Specialty Fats
9407B,400000528,,,0,Specialty Fats
9407B,400000774,,,0,Specialty Fats
9407B,400000753,,,0,Specialty Fats
9407B,400000754,,,0,Specialty Fats
9407B,400000756,,,0,Specialty Fats
9407B,400000757,,,0,Specialty Fats
9407B,400000758,,,0,Specialty Fats
9211,400000347,,,0,Specialty Fats
9211,400000348,,,0,Specialty Fats
9211,400000349,,,0,Specialty Fats
9211,400000350,,,0,Specialty Fats
9211,400000352,,,0,Specialty Fats
9211,400000353,,,0,Specialty Fats
9211,400000354,,,0,Specialty Fats
9211,400000355,,,0,Specialty Fats
9211,400000389,,,0,Specialty Fats
9211,400000390,,,0,Specialty Fats
9211,400000428,,,0,Specialty Fats
9211,400000412,,,0,Specialty Fats
9211,400000411,,,0,Specialty Fats
9211,400000427,,,0,Specialty Fats
9211,400000413,,,0,Specialty Fats
9211,400000414,,,0,Specialty Fats
9211,400000545,,,0,Specialty Fats
9211,400000528,,,0,Specialty Fats
9211,400000347,,,0,Specialty Fats
9211,400000348,,,955.44,Specialty Fats
9211,400000349,,,1167.17,Specialty Fats
9211,400000350,,,1098.83,Specialty Fats
9211,400000352,,,1044.37,Specialty Fats
9211,400000353,,,1063.93,Specialty Fats
9211,400000354,,,1063.45,Specialty Fats
9211,400000355,,,1063.45,Specialty Fats
9211,400000389,,,0,Specialty Fats
9211,400000428,,,0,Specialty Fats
9211,400000412,,,0,Specialty Fats
9211,400000411,,,0,Specialty Fats
9211,400000427,,,1155.82,Specialty Fats
9211,400000413,,,0,Specialty Fats
9211,400000414,,,0,Specialty Fats
9211,400000545,,,0,Specialty Fats
9211,400000528,,,1110.15,Specialty Fats
9211,400000598,,,1094.81,Specialty Fats
9211,400000621,,,1067.39,Specialty Fats
9211,400000631,,,1063.93,Specialty Fats
9211,400000655,,,0,Specialty Fats
9211,400000658,,,0,Specialty Fats
9211,400000656,,,1127.2,Specialty Fats
9211,400000682,,,960.69,Specialty Fats
9211,400000700,,,0,Specialty Fats
9211,400000699,,,1050.47,Specialty Fats
9211,400000719,,,1007.33,Specialty Fats
9211,400000747,,,1197.44,Specialty Fats
9211,400000748,,,1234.83,Specialty Fats
9211,400000774,,,1128.28,Specialty Fats
9211,400000753,,,1437.31,Specialty Fats
9211,400000754,,,1400.51,Specialty Fats
9211,400000756,,,1458.3,Specialty Fats
9211,400000757,,,0,Specialty Fats
9211,400000758,,,0,Specialty Fats
9211,400000778,,,1159.47,Specialty Fats
9211,400000783,,,0,Specialty Fats
9211,400000787,,,1105.9,Specialty Fats
9211,400000810,,,1592.51,Specialty Fats
9211,400000821,,,1224.06,Specialty Fats
9211,400000822,,,1229.51,Specialty Fats
9211,400000827,,,1111.86,Specialty Fats
9211,400000860,,,0,Specialty Fats
9206,400000347,,,0,Specialty Fats
9206,400000348,,,0,Specialty Fats
9206,400000349,,,0,Specialty Fats
9206,400000350,,,0,Specialty Fats
9206,400000352,,,0,Specialty Fats
9206,400000353,,,0,Specialty Fats
9206,400000354,,,0,Specialty Fats
9206,400000355,,,0,Specialty Fats
9206,400000389,,,0,Specialty Fats
9206,400000390,,,0,Specialty Fats
9206,400000428,,,0,Specialty Fats
9206,400000411,,,0,Specialty Fats
9206,400000427,,,0,Specialty Fats
9206,400000413,,,0,Specialty Fats
9206,400000414,,,0,Specialty Fats
9206,400000528,,,0,Specialty Fats
9206,400000545,,,0,Specialty Fats
9206,400000347,,,0,Specialty Fats
9206,400000348,,,0,Specialty Fats
9206,400000349,,,0,Specialty Fats
9206,400000350,,,0,Specialty Fats
9206,400000352,,,0,Specialty Fats
9206,400000353,,,0,Specialty Fats
9206,400000354,,,0,Specialty Fats
9206,400000355,,,0,Specialty Fats
9206,400000389,,,0,Specialty Fats
9206,400000428,,,0,Specialty Fats
9206,400000412,,,0,Specialty Fats
9206,400000411,,,0,Specialty Fats
9206,400000427,,,0,Specialty Fats
9206,400000413,,,0,Specialty Fats
9206,400000414,,,0,Specialty Fats
9206,400000528,,,0,Specialty Fats
9206,400000545,,,0,Specialty Fats
9206,400000598,,,0,Specialty Fats
9206,400000621,,,0,Specialty Fats
9206,400000631,,,0,Specialty Fats
9206,400000655,,,0,Specialty Fats
